qual	method	off	on
41	bsmap	0.004633	0.9078105
41	gsnap	0.0	0.0
41	bis2	0.000581	0.850766
41	bsmooth	0.0025815	0.804293
41	bis1	0.010036	0.861851
41	last	0.000964	0.8859415
42	bwa	7e-06	0.8581135
42	sim_R1.trim	1.8e-05	0.651886
42	bsmap	0.004633	0.9078105
42	gsnap	0.0	0.0
42	bis2	0.000581	0.850766
42	bsmooth	0.0025815	0.804293
42	bis1	0.010036	0.861851
42	last	0.000948	0.885558
43	bwa	7e-06	0.856326
43	sim_R1.trim	1.3e-05	0.651885
43	bsmap	0.004633	0.9078105
43	gsnap	0.0	0.0
43	bis2	0.000581	0.850766
43	bsmooth	0.0	0.0
43	bis1	0.010036	0.861851
43	last	0.000923	0.8848115
44	bwa	7e-06	0.853854
44	sim_R1.trim	1.3e-05	0.651885
44	bsmap	0.004633	0.9078105
44	gsnap	0.0	0.0
44	bis2	0.000581	0.850766
44	bsmooth	0.0	0.0
44	bis1	0.010036	0.861851
44	last	0.0009075	0.8844445
45	bwa	7e-06	0.853414
45	sim_R1.trim	0.0	0.0
45	bsmap	0.004633	0.9078105
45	gsnap	0.0	0.0
45	bis2	0.000581	0.850766
45	bsmooth	0.0	0.0
45	bis1	0.010036	0.861851
45	last	0.000887	0.883992
46	bwa	7e-06	0.8492455
46	sim_R1.trim	0.0	0.0
46	bsmap	0.004633	0.9078105
46	gsnap	0.0	0.0
46	bis2	0.000581	0.850766
46	bsmooth	0.0	0.0
46	bis1	0.010036	0.861851
46	last	0.0008635	0.883029
47	bwa	7e-06	0.8483815
47	sim_R1.trim	0.0	0.0
47	bsmap	0.004633	0.9078105
47	gsnap	0.0	0.0
47	bis2	0.000581	0.850766
47	bsmooth	0.0	0.0
47	bis1	0.010036	0.861851
47	last	0.0008445	0.8827545
48	bwa	7e-06	0.847791
48	sim_R1.trim	0.0	0.0
48	bsmap	0.004633	0.9078105
48	gsnap	0.0	0.0
48	bis2	0.000581	0.850766
48	bsmooth	0.0	0.0
48	bis1	0.010036	0.861851
48	last	0.000826	0.882183
49	bwa	7e-06	0.846316
49	sim_R1.trim	0.0	0.0
49	bsmap	0.004633	0.9078105
49	gsnap	0.0	0.0
49	bis2	0.000581	0.850766
49	bsmooth	0.0	0.0
49	bis1	0.010036	0.861851
49	last	0.000801	0.8811065
50	bwa	7e-06	0.845466
50	sim_R1.trim	0.0	0.0
50	bsmap	0.004633	0.9078105
50	gsnap	0.0	0.0
50	bis2	0.000581	0.850766
50	bsmooth	0.0	0.0
50	bis1	0.010036	0.861851
50	last	0.0007855	0.881015
51	bwa	7e-06	0.843749
51	sim_R1.trim	0.0	0.0
51	bsmap	0.004633	0.9078105
51	gsnap	0.0	0.0
51	bis2	0.000581	0.850766
51	bsmooth	0.0	0.0
51	bis1	0.010036	0.861851
51	last	0.000773	0.8808565
52	bwa	6.5e-06	0.841432
52	sim_R1.trim	0.0	0.0
52	bsmap	0.004633	0.9078105
52	gsnap	0.0	0.0
52	bis2	0.000581	0.850766
52	bsmooth	0.0	0.0
52	bis1	0.010036	0.861851
52	last	0.000758	0.880548
53	bwa	6.5e-06	0.8407315
53	sim_R1.trim	0.0	0.0
53	bsmap	0.004633	0.9078105
53	gsnap	0.0	0.0
53	bis2	0.000581	0.850766
53	bsmooth	0.0	0.0
53	bis1	0.010036	0.861851
53	last	0.0007475	0.880431
54	bwa	6e-06	0.8353395
54	sim_R1.trim	0.0	0.0
54	bsmap	0.004633	0.9078105
54	gsnap	0.0	0.0
54	bis2	0.000581	0.850766
54	bsmooth	0.0	0.0
54	bis1	0.010036	0.861851
54	last	0.000736	0.8802555
55	bwa	6e-06	0.8349965
55	sim_R1.trim	0.0	0.0
55	bsmap	0.004633	0.9078105
55	gsnap	0.0	0.0
55	bis2	0.000581	0.850766
55	bsmooth	0.0	0.0
55	bis1	0.010036	0.861851
55	last	0.0007235	0.8799145
56	bwa	6e-06	0.8346945
56	sim_R1.trim	0.0	0.0
56	bsmap	0.004633	0.9078105
56	gsnap	0.0	0.0
56	bis2	0.000581	0.850766
56	bsmooth	0.0	0.0
56	bis1	0.010036	0.861851
56	last	0.0007185	0.8798065
57	bwa	6e-06	0.8333855
57	sim_R1.trim	0.0	0.0
57	bsmap	0.004633	0.9078105
57	gsnap	0.0	0.0
57	bis2	0.000581	0.850766
57	bsmooth	0.0	0.0
57	bis1	0.010036	0.861851
57	last	0.0007095	0.879605
58	bwa	6e-06	0.833252
58	sim_R1.trim	0.0	0.0
58	bsmap	0.004633	0.9078105
58	gsnap	0.0	0.0
58	bis2	0.000581	0.850766
58	bsmooth	0.0	0.0
58	bis1	0.010036	0.861851
58	last	0.000696	0.879262
59	bwa	6e-06	0.8331895
59	sim_R1.trim	0.0	0.0
59	bsmap	0.004633	0.9078105
59	gsnap	0.0	0.0
59	bis2	0.000581	0.850766
59	bsmooth	0.0	0.0
59	bis1	0.010036	0.861851
59	last	0.0006885	0.8791345
60	bwa	6e-06	0.8331205
60	sim_R1.trim	0.0	0.0
60	bsmap	0.004633	0.9078105
60	gsnap	0.0	0.0
60	bis2	0.000581	0.850766
60	bsmooth	0.0	0.0
60	bis1	0.010036	0.861851
60	last	0.0006785	0.8788975
61	bwa	0.0	0.0
61	sim_R1.trim	0.0	0.0
61	bsmap	0.004633	0.9078105
61	gsnap	0.0	0.0
61	bis2	0.000581	0.850766
61	bsmooth	0.0	0.0
61	bis1	0.010036	0.861851
61	last	0.00067	0.878564
62	bwa	0.0	0.0
62	sim_R1.trim	0.0	0.0
62	bsmap	0.004633	0.9078105
62	gsnap	0.0	0.0
62	bis2	0.000581	0.850766
62	bsmooth	0.0	0.0
62	bis1	0.010036	0.861851
62	last	0.000666	0.878375
63	bwa	0.0	0.0
63	sim_R1.trim	0.0	0.0
63	bsmap	0.004633	0.9078105
63	gsnap	0.0	0.0
63	bis2	0.000581	0.850766
63	bsmooth	0.0	0.0
63	bis1	0.010036	0.861851
63	last	0.000658	0.878091
64	bwa	0.0	0.0
64	sim_R1.trim	0.0	0.0
64	bsmap	0.004633	0.9078105
64	gsnap	0.0	0.0
64	bis2	0.000581	0.850766
64	bsmooth	0.0	0.0
64	bis1	0.010036	0.861851
64	last	0.000646	0.877713
65	bwa	0.0	0.0
