qual	method	off	on
42	bwa	3.5e-06	0.8640265
42	sim_R1	2e-05	0.628648
42	bsmap	0.005684	0.905166
42	gsnap	0.0	0.0
42	bis2	0.0026475	0.8302995
42	bsmooth	0.0023835	0.805802
42	bis1	0.00943	0.844797
42	last	0.0025375	0.890009
43	bwa	3e-06	0.8620805
43	sim_R1	1.3e-05	0.628648
43	bsmap	0.005684	0.905166
43	gsnap	0.0	0.0
43	bis2	0.0026475	0.8302995
43	bsmooth	0.0	0.0
43	bis1	0.00943	0.844797
43	last	0.002488	0.889361
44	bwa	3e-06	0.8606375
44	sim_R1	1.3e-05	0.628648
44	bsmap	0.005684	0.905166
44	gsnap	0.0	0.0
44	bis2	0.0026475	0.8302995
44	bsmooth	0.0	0.0
44	bis1	0.00943	0.844797
44	last	0.002442	0.8889765
45	bwa	3e-06	0.8587475
45	sim_R1	0.0	0.0
45	bsmap	0.005684	0.905166
45	gsnap	0.0	0.0
45	bis2	0.0026475	0.8302995
45	bsmooth	0.0	0.0
45	bis1	0.00943	0.844797
45	last	0.002393	0.8885145
46	bwa	2e-06	0.8561925
46	sim_R1	0.0	0.0
46	bsmap	0.005684	0.905166
46	gsnap	0.0	0.0
46	bis2	0.0026475	0.8302995
46	bsmooth	0.0	0.0
46	bis1	0.00943	0.844797
46	last	0.002336	0.88767
47	bwa	2e-06	0.8556145
47	sim_R1	0.0	0.0
47	bsmap	0.005684	0.905166
47	gsnap	0.0	0.0
47	bis2	0.0026475	0.8302995
47	bsmooth	0.0	0.0
47	bis1	0.00943	0.844797
47	last	0.002302	0.887386
48	bwa	1.5e-06	0.8542885
48	sim_R1	0.0	0.0
48	bsmap	0.005684	0.905166
48	gsnap	0.0	0.0
48	bis2	0.0026475	0.8302995
48	bsmooth	0.0	0.0
48	bis1	0.00943	0.844797
48	last	0.002248	0.8868805
49	bwa	1.5e-06	0.8534215
49	sim_R1	0.0	0.0
49	bsmap	0.005684	0.905166
49	gsnap	0.0	0.0
49	bis2	0.0026475	0.8302995
49	bsmooth	0.0	0.0
49	bis1	0.00943	0.844797
49	last	0.002195	0.885973
50	bwa	1.5e-06	0.851948
50	sim_R1	0.0	0.0
50	bsmap	0.005684	0.905166
50	gsnap	0.0	0.0
50	bis2	0.0026475	0.8302995
50	bsmooth	0.0	0.0
50	bis1	0.00943	0.844797
50	last	0.002166	0.885825
51	bwa	1.5e-06	0.849957
51	sim_R1	0.0	0.0
51	bsmap	0.005684	0.905166
51	gsnap	0.0	0.0
51	bis2	0.0026475	0.8302995
51	bsmooth	0.0	0.0
51	bis1	0.00943	0.844797
51	last	0.0021345	0.8856535
52	bwa	1.5e-06	0.8487455
52	sim_R1	0.0	0.0
52	bsmap	0.005684	0.905166
52	gsnap	0.0	0.0
52	bis2	0.0026475	0.8302995
52	bsmooth	0.0	0.0
52	bis1	0.00943	0.844797
52	last	0.002109	0.8854075
53	bwa	1.5e-06	0.8437125
53	sim_R1	0.0	0.0
53	bsmap	0.005684	0.905166
53	gsnap	0.0	0.0
53	bis2	0.0026475	0.8302995
53	bsmooth	0.0	0.0
53	bis1	0.00943	0.844797
53	last	0.002082	0.8852575
54	bwa	1.5e-06	0.8433865
54	sim_R1	0.0	0.0
54	bsmap	0.005684	0.905166
54	gsnap	0.0	0.0
54	bis2	0.0026475	0.8302995
54	bsmooth	0.0	0.0
54	bis1	0.00943	0.844797
54	last	0.00206	0.8850345
55	bwa	1.5e-06	0.8427335
55	sim_R1	0.0	0.0
55	bsmap	0.005684	0.905166
55	gsnap	0.0	0.0
55	bis2	0.0026475	0.8302995
55	bsmooth	0.0	0.0
55	bis1	0.00943	0.844797
55	last	0.0020285	0.8847215
56	bwa	1.5e-06	0.841978
56	sim_R1	0.0	0.0
56	bsmap	0.005684	0.905166
56	gsnap	0.0	0.0
56	bis2	0.0026475	0.8302995
56	bsmooth	0.0	0.0
56	bis1	0.00943	0.844797
56	last	0.0020015	0.884566
57	bwa	1.5e-06	0.84194
57	sim_R1	0.0	0.0
57	bsmap	0.005684	0.905166
57	gsnap	0.0	0.0
57	bis2	0.0026475	0.8302995
57	bsmooth	0.0	0.0
57	bis1	0.00943	0.844797
57	last	0.001975	0.8843625
58	bwa	1.5e-06	0.841806
58	sim_R1	0.0	0.0
58	bsmap	0.005684	0.905166
58	gsnap	0.0	0.0
58	bis2	0.0026475	0.8302995
58	bsmooth	0.0	0.0
58	bis1	0.00943	0.844797
58	last	0.001946	0.8840215
59	bwa	1.5e-06	0.841715
59	sim_R1	0.0	0.0
59	bsmap	0.005684	0.905166
59	gsnap	0.0	0.0
59	bis2	0.0026475	0.8302995
59	bsmooth	0.0	0.0
59	bis1	0.00943	0.844797
59	last	0.001917	0.883806
60	bwa	1.5e-06	0.841301
60	sim_R1	0.0	0.0
60	bsmap	0.005684	0.905166
60	gsnap	0.0	0.0
60	bis2	0.0026475	0.8302995
60	bsmooth	0.0	0.0
60	bis1	0.00943	0.844797
60	last	0.001894	0.8835395
61	bwa	0.0	0.0
61	sim_R1	0.0	0.0
61	bsmap	0.005684	0.905166
61	gsnap	0.0	0.0
61	bis2	0.0026475	0.8302995
61	bsmooth	0.0	0.0
61	bis1	0.00943	0.844797
61	last	0.0018755	0.883162
62	bwa	0.0	0.0
62	sim_R1	0.0	0.0
62	bsmap	0.005684	0.905166
62	gsnap	0.0	0.0
62	bis2	0.0026475	0.8302995
62	bsmooth	0.0	0.0
62	bis1	0.00943	0.844797
62	last	0.0018525	0.882903
63	bwa	0.0	0.0
63	sim_R1	0.0	0.0
63	bsmap	0.005684	0.905166
63	gsnap	0.0	0.0
63	bis2	0.0026475	0.8302995
63	bsmooth	0.0	0.0
63	bis1	0.00943	0.844797
63	last	0.0018355	0.882615
64	bwa	0.0	0.0
64	sim_R1	0.0	0.0
64	bsmap	0.005684	0.905166
64	gsnap	0.0	0.0
64	bis2	0.0026475	0.8302995
64	bsmooth	0.0	0.0
64	bis1	0.00943	0.844797
64	last	0.0018135	0.8822655
65	bwa	0.0	0.0
65	sim_R1	0.0	0.0
65	bsmap	0.005684	0.905166
65	gsnap	0.0	0.0
65	bis2	0.0026475	0.8302995
65	bsmooth	0.0	0.0
65	bis1	0.00943	0.844797
65	last	0.001797	0.8819595
66	bwa	0.0	0.0
66	sim_R1	0.0	0.0
66	bsmap	0.005684	0.905166
66	gsnap	0.0	0.0
66	bis2	0.0026475	0.8302995
66	bsmooth	0.0	0.0
66	bis1	0.00943	0.844797
66	last	0.00177	0.881606
67	bwa	0.0	0.0
67	sim_R1	0.0	0.0
67	bsmap	0.005684	0.905166
67	gsnap	0.0	0.0
67	bis2	0.0026475	0.8302995
67	bsmooth	0.0	0.0
67	bis1	0.00943	0.844797
67	last	0.0017465	0.8811415
68	bwa	0.0	0.0
68	sim_R1	0.0	0.0
68	bsmap	0.005684	0.905166
68	gsnap	0.0	0.0
68	bis2	0.0026475	0.8302995
68	bsmooth	0.0	0.0
68	bis1	0.00943	0.844797
68	last	0.00172	0.8807905
69	bwa	0.0	0.0
69	sim_R1	0.0	0.0
69	bsmap	0.005684	0.905166
69	gsnap	0.0	0.0
69	bis2	0.0026475	0.8302995
69	bsmooth	0.0	0.0
69	bis1	0.00943	0.844797
69	last	0.0016935	0.880309
70	bwa	0.0	0.0
70	sim_R1	0.0	0.0
70	bsmap	0.005684	0.905166
70	gsnap	0.0	0.0
70	bis2	0.0026475	0.8302995
70	bsmooth	0.0	0.0
70	bis1	0.00943	0.844797
70	last	0.001659	0.8797905
71	bwa	0.0	0.0
71	sim_R1	0.0	0.0
71	bsmap	0.005684	0.905166
71	gsnap	0.0	0.0
71	bis2	0.0026475	0.8302995
71	bsmooth	0.0	0.0
71	bis1	0.00943	0.844797
71	last	0.0016225	0.879418
72	bwa	0.0	0.0
72	sim_R1	0.0	0.0
72	bsmap	0.005684	0.905166
72	gsnap	0.0	0.0
72	bis2	0.0026475	0.8302995
72	bsmooth	0.0	0.0
72	bis1	0.00943	0.844797
72	last	0.001584	0.878921
73	bwa	0.0	0.0
73	sim_R1	0.0	0.0
73	bsmap	0.005684	0.905166
73	gsnap	0.0	0.0
73	bis2	0.0026475	0.8302995
73	bsmooth	0.0	0.0
73	bis1	0.00943	0.844797
73	last	0.0015345	0.878432
74	bwa	0.0	0.0
74	sim_R1	0.0	0.0
74	bsmap	0.005684	0.905166
74	gsnap	0.0	0.0
74	bis2	0.0026475	0.8302995
74	bsmooth	0.0	0.0
74	bis1	0.00943	0.844797
74	last	0.0015075	0.878106
75	bwa	0.0	0.0
75	sim_R1	0.0	0.0
75	bsmap	0.005684	0.905166
75	gsnap	0.0	0.0
75	bis2	0.0026475	0.8302995
75	bsmooth	0.0	0.0
75	bis1	0.00943	0.844797
75	last	0.001475	0.877693
76	bwa	0.0	0.0
76	sim_R1	0.0	0.0
76	bsmap	0.005684	0.905166
76	gsnap	0.0	0.0
76	bis2	0.0026475	0.8302995
76	bsmooth	0.0	0.0
76	bis1	0.00943	0.844797
76	last	0.001447	0.877236
77	bwa	0.0	0.0
77	sim_R1	0.0	0.0
77	bsmap	0.005684	0.905166
77	gsnap	0.0	0.0
77	bis2	0.0026475	0.8302995
77	bsmooth	0.0	0.0
77	bis1	0.00943	0.844797
77	last	0.0014215	0.876779
78	bwa	0.0	0.0
78	sim_R1	0.0	0.0
78	bsmap	0.005684	0.905166
78	gsnap	0.0	0.0
78	bis2	0.0026475	0.8302995
78	bsmooth	0.0	0.0
78	bis1	0.00943	0.844797
78	last	0.0013945	0.876115
79	bwa	0.0	0.0
79	sim_R1	0.0	0.0
79	bsmap	0.005684	0.905166
79	gsnap	0.0	0.0
79	bis2	0.0026475	0.8302995
79	bsmooth	0.0	0.0
79	bis1	0.00943	0.844797
79	last	0.001376	0.8754565
80	bwa	0.0	0.0
80	sim_R1	0.0	0.0
80	bsmap	0.005684	0.905166
80	gsnap	0.0	0.0
80	bis2	0.0026475	0.8302995
80	bsmooth	0.0	0.0
80	bis1	0.00943	0.844797
80	last	0.0013545	0.8747255
81	bwa	0.0	0.0
81	sim_R1	0.0	0.0
81	bsmap	0.005684	0.905166
81	gsnap	0.0	0.0
81	bis2	0.0026475	0.8302995
81	bsmooth	0.0	0.0
81	bis1	0.00943	0.844797
81	last	0.0013385	0.8739165
82	bwa	0.0	0.0
82	sim_R1	0.0	0.0
82	bsmap	0.005684	0.905166
82	gsnap	0.0	0.0
82	bis2	0.0026475	0.8302995
82	bsmooth	0.0	0.0
82	bis1	0.00943	0.844797
82	last	0.001327	0.873131
83	bwa	0.0	0.0
83	sim_R1	0.0	0.0
83	bsmap	0.005684	0.905166
83	gsnap	0.0	0.0
83	bis2	0.0026475	0.8302995
83	bsmooth	0.0	0.0
83	bis1	0.00943	0.844797
83	last	0.001315	0.87229
84	bwa	0.0	0.0
84	sim_R1	0.0	0.0
84	bsmap	0.005684	0.905166
84	gsnap	0.0	0.0
84	bis2	0.0026475	0.8302995
84	bsmooth	0.0	0.0
84	bis1	0.00943	0.844797
84	last	0.001302	0.871389
85	bwa	0.0	0.0
85	sim_R1	0.0	0.0
85	bsmap	0.005684	0.905166
85	gsnap	0.0	0.0
85	bis2	0.0026475	0.8302995
85	bsmooth	0.0	0.0
85	bis1	0.00943	0.844797
85	last	0.001291	0.8705595
86	bwa	0.0	0.0
86	sim_R1	0.0	0.0
86	bsmap	0.005684	0.905166
86	gsnap	0.0	0.0
86	bis2	0.0026475	0.8302995
86	bsmooth	0.0	0.0
86	bis1	0.00943	0.844797
86	last	0.001281	0.8696935
87	bwa	0.0	0.0
87	sim_R1	0.0	0.0
87	bsmap	0.005684	0.905166
87	gsnap	0.0	0.0
87	bis2	0.0026475	0.8302995
87	bsmooth	0.0	0.0
87	bis1	0.00943	0.844797
87	last	0.00127	0.868774
88	bwa	0.0	0.0
88	sim_R1	0.0	0.0
88	bsmap	0.005684	0.905166
88	gsnap	0.0	0.0
88	bis2	0.0026475	0.8302995
88	bsmooth	0.0	0.0
88	bis1	0.00943	0.844797
88	last	0.0012585	0.8678735
89	bwa	0.0	0.0
89	sim_R1	0.0	0.0
89	bsmap	0.005684	0.905166
89	gsnap	0.0	0.0
89	bis2	0.0026475	0.8302995
89	bsmooth	0.0	0.0
89	bis1	0.00943	0.844797
89	last	0.001251	0.866743
90	bwa	0.0	0.0
90	sim_R1	0.0	0.0
90	bsmap	0.005684	0.905166
90	gsnap	0.0	0.0
90	bis2	0.0026475	0.8302995
90	bsmooth	0.0	0.0
90	bis1	0.00943	0.844797
90	last	0.001244	0.8657715
91	bwa	0.0	0.0
91	sim_R1	0.0	0.0
91	bsmap	0.005684	0.905166
91	gsnap	0.0	0.0
91	bis2	0.0026475	0.8302995
91	bsmooth	0.0	0.0
91	bis1	0.00943	0.844797
91	last	0.001232	0.8646645
92	bwa	0.0	0.0
92	sim_R1	0.0	0.0
92	bsmap	0.005684	0.905166
92	gsnap	0.0	0.0
92	bis2	0.0026475	0.8302995
92	bsmooth	0.0	0.0
92	bis1	0.00943	0.844797
92	last	0.00122	0.8632235
93	bwa	0.0	0.0
93	sim_R1	0.0	0.0
93	bsmap	0.005684	0.905166
93	gsnap	0.0	0.0
93	bis2	0.0026475	0.8302995
93	bsmooth	0.0	0.0
93	bis1	0.00943	0.844797
93	last	0.0012065	0.8626445
94	bwa	0.0	0.0
94	sim_R1	0.0	0.0
94	bsmap	0.005684	0.905166
94	gsnap	0.0	0.0
94	bis2	0.0026475	0.8302995
94	bsmooth	0.0	0.0
94	bis1	0.00943	0.844797
94	last	0.001197	0.862124
95	bwa	0.0	0.0
95	sim_R1	0.0	0.0
95	bsmap	0.005684	0.905166
95	gsnap	0.0	0.0
95	bis2	0.0026475	0.8302995
95	bsmooth	0.0	0.0
95	bis1	0.00943	0.844797
95	last	0.0011895	0.861579
96	bwa	0.0	0.0
96	sim_R1	0.0	0.0
96	bsmap	0.005684	0.905166
96	gsnap	0.0	0.0
96	bis2	0.0026475	0.8302995
96	bsmooth	0.0	0.0
96	bis1	0.00943	0.844797
96	last	0.0011785	0.8608895
97	bwa	0.0	0.0
97	sim_R1	0.0	0.0
97	bsmap	0.005684	0.905166
97	gsnap	0.0	0.0
97	bis2	0.0026475	0.8302995
97	bsmooth	0.0	0.0
97	bis1	0.00943	0.844797
97	last	0.00117	0.86037
98	bwa	0.0	0.0
98	sim_R1	0.0	0.0
98	bsmap	0.005684	0.905166
98	gsnap	0.0	0.0
98	bis2	0.0026475	0.8302995
98	bsmooth	0.0	0.0
98	bis1	0.00943	0.844797
98	last	0.001163	0.859815
99	bwa	0.0	0.0
99	sim_R1	0.0	0.0
99	bsmap	0.005684	0.905166
99	gsnap	0.0	0.0
99	bis2	0.0026475	0.8302995
99	bsmooth	0.0	0.0
99	bis1	0.00943	0.844797
99	last	0.0011555	0.859179
100	bwa	0.0	0.0
100	sim_R1	0.0	0.0
100	bsmap	0.005684	0.905166
100	gsnap	0.0	0.0
100	bis2	0.0026475	0.8302995
100	bsmooth	0.0	0.0
100	bis1	0.00943	0.844797
100	last	0.001148	0.858487
101	bwa	0.0	0.0
101	sim_R1	0.0	0.0
101	bsmap	0.005684	0.905166
101	gsnap	0.0	0.0
101	bis2	0.0026475	0.8302995
101	bsmooth	0.0	0.0
101	bis1	0.00943	0.844797
101	last	0.001141	0.857781
102	bwa	0.0	0.0
102	sim_R1	0.0	0.0
102	bsmap	0.005684	0.905166
102	gsnap	0.0	0.0
102	bis2	0.0026475	0.8302995
102	bsmooth	0.0	0.0
102	bis1	0.00943	0.844797
102	last	0.001132	0.85691
103	bwa	0.0	0.0
103	sim_R1	0.0	0.0
103	bsmap	0.005684	0.905166
103	gsnap	0.0	0.0
103	bis2	0.0026475	0.8302995
103	bsmooth	0.0	0.0
103	bis1	0.00943	0.844797
103	last	0.001124	0.8560785
104	bwa	0.0	0.0
104	sim_R1	0.0	0.0
104	bsmap	0.005684	0.905166
104	gsnap	0.0	0.0
104	bis2	0.0026475	0.8302995
104	bsmooth	0.0	0.0
104	bis1	0.00943	0.844797
104	last	0.001118	0.8552075
